Ingles;Español;relacion1;relacion2;relacion3;relacion4
no;no;diana;me han dado;helado;me hago
time;tiempo;anti han parado;tan en tiempo;chan el;tan in
like;gustar, como (adv.);mark estaba pagaba el civil;la pos tal como a derek;mary;la al
can;puede/o;que el para el mago;tanto puede todo;qué eran;claro
make;hacer;me hace horas;me en placer;me;me el
when;cuando, cuándo;cuento andado manta;we ir cuando cuando;cuál;we ir
me;yo, me, mi;villano billy ana;me llamo me mis;bree;me han
go;ir;de ahora en la;doy le;la oh;dos
which;cuál, el/la cual;un hecho que ahora nada me quema;muy cuál es la cual;fue antes;muy
get;obtener;diana a cenar;de hecho temer;clark;da le
who;quién;de acción;como que él;feo;todo
about;sobre, acerca de;a da opción para esta carta;la dama logre acercarse;papá no;nathan
if;si;el c si;mikhail;earl;qué es
out;afuera, fuera, lejos;adónde fue en el funeral medidas;la otra fuera fuera lejos;pero;aún
up;arriba;a alguien para;adoptar ira;la;padre
so;así, tan;estaban si eran;no vas y pan;qué hago;lou
what;qué;marca fue él;mark qué;igual;cuál
their;ellos/as;bien en el área;dave ellos las;derek;de an
there;allá, allí;de ahora en abril;de andar aquí;de elena;de an
would;condicional, terminación -ría;walt er decían a sam en edición había;más condicional terminación regular;walt er;no es
all;todo/a, todos/as;ahora se han dado en el sitio de hadas;hoy todo a todos antes;nada;ahora
one;uno;marie vendado;humano uno;man;walt
my;mi;mariana;un año;madre;mal
will;(futuro), voluntad;uno y echar la van a echar;hoy la foto ahora mortal;bueno;hoy
an;un, una/o, unas/os;anda anda anda todo les ahora es;para un una todo unas todos;e van;tan
or;o;en enero;he creado;ahora;por el
she;ella;sí ahora;sí era el plan;el;es él
her;ella;de verdad;si a ella;sierra;frank
say;decir;hey precio sa;la y decir;se han;que él
we;nosotros/as;vino hacia atrás na es;muy nosotras hans;willie;muelle
they;ellos/as;de llamadas raras;de ellos hans;de an;da le
from;de, desde;plantear la hacia él;tra té de este;shawn;sam
by;por;ay tu olor;dalton;danny;mal
his;el;entra;israel;diez;nick
but;pero;la que corra do;mata de ellos;dar;bar
this;esto/a;decía estaba ella;dije esto a;deja;del que
at;a, en;para el ron;a casa en;la;earl
do;hacer;quién rachel hola;la base;te amo;dado
you;tú, usted, ustedes;y acción mezcla de instalar;la to mo este oeste liz;y feo;eu
as;como (adv.);a la mamá he chi chi;haz como a derek;en años;nariz
he;él;mira;a él;dedos;qué
with;con;de qué te han;muy tarde;una vez;maíz
on;en, sobre;amanda en la otra;ahora él se abre;lo haré;ahora
not;no;la ha creado;me a me ado;una;mear
for;para;de quién era;fueron para el sr;ahora;hola
it;él, lo, la (cosa, animal), eso, esto;era algo nuevo va en francia en año y anciano pescado;y él no la cosa animal esto esto;qué;eric
I;yo;han guiado;y ella no;annie;no él
have;tener, haber;marchan en la vida;a tener a ver;lo harás;frank
that;que, eso/e/a, aquello/a, cual;dado que el día entero y se van para el uno;la que es lo que a aquellos a cuál;de an;dar
in;en, dentro de;era en la entrada;en el centro de;lo han;en
a;un, una;me han nena;au en una;a él;nada
and;y;en una;andy;en la;earl
of;de;a qué te han;todos te;la;todos
to;a, hacia, hasta, por, para,;si va él hacía hasta ahora en la;de una parcial hasta por tara;si leo;todo
be;ser o estar;días en el agua está hola;dijeron estás;de él;me en
the;el, la, los, las;diana un abre una nueva;de él la ellos las;de él;debe
